id,lon,lat
25609,147.1930,-9.4633
42179,2.3439,41.4943
42213,125.2373,7.4530
42215,46.7070,24.6714
42226,14.2842,-7.1544
42228,5.6245,6.3339
42244,0.8627,47.4675
42254,73.7293,17.9414
42267,7.1407,4.7834
42273,119.1620,36.7069
42288,-8.8566,42.8060
42325,-84.0787,9.9258
42328,13.1892,32.8832
42343,3.4945,44.5181
42366,85.3154,27.7059
42369,-85.4500,10.1439
42372,-94.5541,18.1491
42374,-109.4276,-27.1479
42377,24.4026,-9.2096
42402,81.8360,43.2180
42411,-73.7793,41.4524
42418,119.8986,-2.9796
42421,9.4574,0.3935
42441,-96.1406,19.1954
42473,147.1930,-9.4633
42490,147.1930,-9.4633
42493,77.4052,23.1445
46075,35.4058,-17.7847
46083,-79.0104,-8.1682
46495,-8.6231,41.2327
47916,144.1335,43.2417
48115,-84.0787,9.9258
48316,139.7738,35.6975
53995,-77.4635,-9.6935
53996,2.0635,41.2788
53997,-99.1561,19.3963
53998,0.1669,38.7890
53999,149.1265,-35.3065
54000,-81.1929,28.2694
54001,80.1239,37.0401
54002,100.5011,13.7583
54003,73.2130,22.0582
