id,lon,lat
481470,8.7776,3.7499
482682,85.3223,27.6933
483914,-76.9005,-12.0207
495610,-96.9208,19.5240
498405,-90.4674,14.6317
498413,-96.1513,19.1984
498429,-96.9208,19.5240
498488,-85.4500,10.1439
498503,-84.0787,9.9258
498515,-107.3802,24.5903
498561,-70.4688,44.5202
498593,-70.4688,44.5202
498601,-118.7943,34.4148
498678,-109.4276,-27.1479
498773,-1.5203,12.3699
498799,15.3234,-4.3275
498800,15.2895,-4.3122
498824,10.2465,1.5840
498826,9.4574,0.3935
498835,-0.2066,5.5448
499103,7.4618,9.0631
499108,7.4618,9.0631
499111,-13.2329,8.4782
499123,15.2895,-4.3122
499128,73.0705,33.7077
499139,100.5011,13.7583
499142,100.0628,20.2697
499168,96.1987,19.7330
499186,80.1239,37.0401
499187,-73.7793,41.4524
499190,-73.7793,41.4524
499213,72.7136,24.5893
499219,-116.2178,33.7197
499247,106.8061,-6.1860
499250,106.8061,-6.1860
499260,107.0377,-6.2391
499263,106.8061,-6.1860
499295,106.8061,-6.1860
499328,147.1930,-9.4633
499353,-87.7646,42.0627
499354,147.1930,-9.4633
499401,147.1969,-9.4655
499406,147.1969,-9.4655
499407,147.1969,-9.4655
499408,147.1969,-9.4655
499421,147.1969,-9.4655
499484,-43.4834,-22.8799
499486,-43.4834,-22.8799
499547,2.0635,41.2788
499727,133.1326,-12.2526
500627,-0.5239,38.2606
500881,-73.7793,41.4524
500883,76.2176,32.7624
542234,38.7445,9.0336
557586,-5.9863,37.3849
566005,-66.7701,-17.6955
566031,-66.7701,-17.6955
566066,-66.7701,-17.6955
