Id Col·lecció,Núm_ registre,Any inici,Any final,Datació,Cultura,Id Cultura,Procedència,Precisions lloc procedencia,Geografia històrica,Continent
498601,MEB CF 378,100,600,segles II - VII,Moche,46083,Perú,"valls de Moche, Chicama i Viru, costa nord del Perú",,Amèrica
498593,MEB CF 1009,1200,1438,1200 - 1438,Chimú,46075,Perú,costa nord de Perú,,Amèrica
498561,MEB CF 2058,1100,1450,1100 - 1450,Chancay,42244,Perú,costa central del Perú,,Amèrica
498515,MEB CF 566,1000,1550,1000 - 1550,Diquís - Gran Chiriquí,48115,Costa Rica,Diquís,,Amèrica
498503,MEB CF 941,1,500,segles II - VI,Vessant Atlàntic,42325,Costa Rica,"altiplà central, vessant atlàntica",,Amèrica
498488,MEB CF 572,1200,1400,segles XIII-XV,Gran Nicoya,42369,Costa Rica,Guanacaste Nicoya,,Amèrica
498429,MEB CF 2749,600,900,segles VII-X,Veracruz,42441,Mèxic,Veracruz,,Amèrica
498413,MEB CF 4076,-1000,-500,segles XI-VI a.C.,cultura Olmeca,42372,Mèxic,"estats de Veracruz i Tabasco, costa sud del golf de Mèxic",,Amèrica
498405,MEB CF 3729,900,1200,segles X - XIII,Maia,46495,Guatemala,Costa de Guatemala,,Amèrica
495610,MEB CF 5883,300,900,segles IV - X,Veracruz,42441,Mèxic,Veracruz,,Amèrica
483914,MEB 10-23,300,800,segles IV - IX,Recuay,53995,Perú,Callejón de Huaylas,,Amèrica
566066,MEB 210-71,1835,1835,1835,Japó,48316,Japó,,,Àsia
566031,MEB CF 3519,1000,1199,1000 - 1199,Japó,48316,Japó,,,Àsia
566005,MEB CF 2923,500,599,500 - 599,Japó,48316,Japó,,,Àsia
557586,MEB 345-15,500,599,segle VI,Filipines,53996,Filipines,"Sultà Kudarat, Labak, província de Cotobato, illa Mindanao",,Àsia
500883,MEB CF 5346,1300,1499,1300 - 1499,Índia,42288,Índia,"Chamba o centre de la regió de Sutlej, Himachal Pradesh",,Àsia
500881,MEB CF 3563,1700,1799,1700 - 1799,Tibet,42411,Tibet,,,Àsia
500627,MEB CF 2846,1900,1900,cap al 1900,Java,53998,Indonèsia,Centre de l'Illa de Java,,Àsia
499547,MEB CF 5856,1800,1999,s. XIX- XX,Ifugao,53998,Filipines,"Hapao, província Ifugao, illa Luzon",,Àsia
499295,MEB CF 4527,1800,1899,1800 - 1899,pobles Batak,42179,Indonèsia,"poblat Bakara, llac Toba, nord de Sumatra",,Àsia
499263,MEB CF 4097,800,899,800 - 899,Java,53998,Indonèsia,"Temple Borobudur, Java central",,Àsia
499250,MEB CF 5912,1800,1900,1800 - 1900,poble Toraja,42418,Indonèsia,Illes Cèlebes (Sulawesi),,Àsia
499247,MEB CF 4865,1950,1950,mitjans segle XX,pobles Dayak,42254,Indonèsia,illa de Borneo (Kalimatan),,Àsia
499219,MEB CF 5236,1300,1600,1300-1600,Índia,42288,Índia,"Índia occidental, probablement nord de Gujarat or Rajasthan",,Àsia
499213,MEB CF 2949,1300,1599,segles XIV al XVI,Índia,42288,Índia,"Àrea del Mont Abu, Rajasthan (nord-oest de l¿Índia)",,Àsia
499190,MEB CF 3722,1600,1699,1600 - 1699,Tibet,42411,Tibet,"Gyantse, sud-est del Tibet",,Àsia
499187,MEB CF 3737,1500,1599,1500 - 1599,Tibet,42411,Tibet,Gyantse,,Àsia
499186,MEB CF 4567,618,907,"Dinastia tang, 618 - 907  dC",Xina,54001,Xina,,,Àsia
499168,MEB CF 6351,1300,1499,1300 - 1499,Arakan,42213,Birmània,,"Arakan, regne d'",Àsia
499142,MEB CF 4129,1300,1399,1300 - 1399,Tailàndia,54002,Tailàndia,Chiang Saen,,Àsia
499139,MEB CF 6039,1500,1699,1500 - 1699,Tailàndia,54002,Tailàndia,"Ayutthaya, sud de Tailàndia",,Àsia
499128,MEB CF 3518,200,299,200 - 299,Gandhara,54003,"Afganistan, Pakistan",,"Gandhara, antiga regió de",Àsia
482682,MEB 113-859,1500,1599,segle XVI,Nepal,42366,Nepal,Katmandú,,Àsia
542234,MEB 267-489,1800,1899,segle XIX,Etiòpia cristiana,53997,Etiòpia,Addis Abeba,,Àfrica
499123,MEB CF 5535,1950,1950,mitjans segle XX,Pende orientals,42377,"Congo, República Democràtica del",Rius Kwango,,Àfrica
499111,MEB CF 242,1900,1950,primera meitat segle XX,Mende,42343,"Sierra Leone, Libèria",,,Àfrica
499108,MEB CF 3496,1550,1700,període mitjà 1550-1700,Edo,42228,Nigèria,,"Benin, antic regne de",Àfrica
499103,MEB CF 339,1550,1700,Període mitjà 1550-1700,Edo,42228,Nigèria,,"Benin, antic regne de",Àfrica
498835,MEB CF 5760,1800,1899,segle XIX,Akan,47916,Ghana,possiblement de la regió de Twifo-Hemang,,Àfrica
498826,MEB CF 5917,1800,1999,segles XIX - XX,Tsangui,42421,Gabon,Regió del riu Ogoué,,Àfrica
498824,MEB CF 180,1800,1999,segles XIX-XX,Fang,42273,Guinea Equatorial,Nord-oest de Guinea Equatorial,,Àfrica
498800,MEB CF 99,1900,1949,primera meitat segle XX,Teke,42402,"Congo, República Democràtica del",Pool Malebo,,Àfrica
498799,MEB CF 5913,1800,1899,segle XIX,Bembe,42226,"Congo, República Democràtica del",,,Àfrica
498773,MEB CF 3445,1900,1925,inicis segle XX,Lobi,42328,"Burkina Faso, Costa d'Ivori, Ghana",,,Àfrica
481470,MEB 71-5,1800,1999,segles XIX-XX,"Fang, grup okak",42273,Guinea Equatorial,àrea de Río Muni,,Àfrica
